District,Tract,Block Group,Block,
6,27,,2030,
6,27,,2031,
6,36,2,,Block Groups 2 - 4 and Blocks 1034 - 1044 of Tract 36
6,36,3,,
6,36,4,,and Block Group 2 of Tract 45.
6,36,,1034,
6,36,,1035,
6,36,,1036,
6,36,,1037,
6,36,,1038,
6,36,,1039,
6,36,,1040,
6,36,,1041,
6,36,,1042,
6,36,,1043,
6,36,,1044,
6,45,2,,
7,56,,,
7,57,,,
7,58.01,,,
7,58.02,,,
7,59,,,
7,60,,,
7,67,,,
7,68,,,
7,69,,,
7,70,,,
7,71,,,
7,72,,,
7,73,,,
7,80.01,,,
7,80.02,,,
7,81,,,
7,82,,,
7,83,2,,Block Group 2 of Tract 83
7,92,2,,and Block Group 2 of Tract 92.
