OBJECT,FULLOBJECT,THEME,TITLE,ABSTRACT
acs0509_foreign_pop_birthplace_p1,acs0509_foreign_pop_birthplace_p1,census,ACS: Place Of Birth For The Foreign-Born Population-Part 1 (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Foreign Birth subject area. Provides information about: Place Of Birth For The Foreign-Born Population-Part 1 for the universe of: Foreign-born population excluding population born at sea. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_foreign_pop_birthplace_p2,acs0509_foreign_pop_birthplace_p2,census,ACS: Place Of Birth For The Foreign-Born Population-Part 2 (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Foreign Birth subject area. Provides information about: Place Of Birth For The Foreign-Born Population-Part 2 for the universe of: Foreign-born population excluding population born at sea. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_foreign_pop_gender_pob,acs0509_foreign_pop_gender_pob,census,ACS: Sex By Place Of Birth By Year Of Entry For The Foreign-Born Population (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Foreign Birth subject area. Provides information about: Sex By Place Of Birth By Year Of Entry For The Foreign-Born Population for the universe of: Foreign-born population. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_gender_age,acs0509_gender_age,census,ACS: Sex By Age (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Age-Sex subject area. Provides information about: Sex By Age for the universe of: Total population. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_gender_age_veteran,acs0509_gender_age_veteran,census,ACS: Sex By Age By Veteran Status For The Civilian Population 18 Years And Over (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Veteran Status subject area. Provides information about: Sex By Age By Veteran Status For The Civilian Population 18 Years And Over for the universe of: Civilian population 18 years and over. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_gender_edu_attain,acs0509_gender_edu_attain,census,ACS: Sex By Educational Attainment For The Population 25 Years And Over (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Educational Attainment subject area. Provides information about: Sex By Educational Attainment For The Population 25 Years And Over for the universe of: Population 25 years and over. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_gender_industry,acs0509_gender_industry,census,ACS: Sex By Industry For The Civilian Employed Population 16 Years And Over (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Industry-Occupation-Class of Worker subject area. Provides information about: Sex By Industry For The Civilian Employed Population 16 Years And Over for the universe of: Civilian employed population 16 years and over. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_gender_marital_status,acs0509_gender_marital_status,census,ACS: Sex By Marital Status For The Population 15 Years And Over (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Marital Status subject area. Provides information about: Sex By Marital Status For The Population 15 Years And Over for the universe of: Population 15 years and over. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_gender_occupation,acs0509_gender_occupation,census,ACS: Sex By Occupation For The Civilian Employed Population 16 Years And Over (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Industry-Occupation-Class of Worker subject area. Provides information about: Sex By Occupation For The Civilian Employed Population 16 Years And Over for the universe of: Civilian employed population 16 years and over. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_geog_mob_gender,acs0509_geog_mob_gender,census,ACS: Geographical Mobility In The Past Year By Sex For Current Residence In The United States (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Residence Last Year - Migration subject area. Provides information about: Geographical Mobility In The Past Year By Sex For Current Residence In The United States for the universe of: Population 1 year and over in the United States. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_geog_mob_residence,acs0509_geog_mob_residence,census,ACS: Geographical Mobility In The Past Year For Current Residence--State; County And Place Level In The United States (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Residence Last Year - Migration subject area. Provides information about: Geographical Mobility In The Past Year For Current Residence--State; County And Place Level In The United States for the universe of: Population 1 year and over in the United States. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_gross_rent_ratio_income,acs0509_gross_rent_ratio_income,census,ACS: Gross Rent As A Percentage Of Household Income In The Past 12 Months (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Gross Rent As A Percentage Of Household Income In The Past 12 Months for the universe of: Renter-occupied housing units. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_grp_qtrs_pop,acs0509_grp_qtrs_pop,census,ACS: Group Quarters Population (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Group Quarters subject area. Provides information about: Group Quarters Population for the universe of: Population in Group Quarters. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_hisp_lat_by_race,acs0509_hisp_lat_by_race,census,ACS: Hispanic Or Latino Origin By Race (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Hispanic Origin subject area. Provides information about: Hispanic Or Latino Origin By Race for the universe of: Total population. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_home_lang_eng_ability,acs0509_home_lang_eng_ability,census,ACS: Language Spoken At Home By Ability To Speak English For The Population 5 Years And Over (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Language subject area. Provides information about: Language Spoken At Home By Ability To Speak English For The Population 5 Years And Over for the universe of: Population 5 years and over. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_housing_units,acs0509_housing_units,census,ACS: Housing Units (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Housing Units for the universe of: Housing units. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_hsehld_lang_ling_iso,acs0509_hsehld_lang_ling_iso,census,ACS: Household Language By Linguistic Isolation (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Language subject area. Provides information about: Household Language By Linguistic Isolation for the universe of: Households. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_hsehld_rent_ratio_income,acs0509_hsehld_rent_ratio_income,census,ACS: Household Income By Gross Rent As A Percentage Of Household Income In The Past 12 Months (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Household Income By Gross Rent As A Percentage Of Household Income In The Past 12 Months for the universe of: Renter-occupied housing units. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_hsehld_size_vehicle,acs0509_hsehld_size_vehicle,census,ACS: Household Size By Vehicles Available (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Journey to Work subject area. Provides information about: Household Size By Vehicles Available for the universe of: Households. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_hsehld_size_workers,acs0509_hsehld_size_workers,census,ACS: Household Size By Number Of Workers In Household (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Journey to Work subject area. Provides information about: Household Size By Number Of Workers In Household for the universe of: Households. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_hsehld_tenure,acs0509_hsehld_tenure,census,ACS: Household Type By Tenure (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Households - Families subject area. Provides information about: Household Type By Tenure for the universe of: Households. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_hsehld_type,acs0509_hsehld_type,census,ACS: Household Type (Including Living Alone) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Households - Families subject area. Provides information about: Household Type (Including Living Alone) for the universe of: Households. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_hsehld_type_relation,acs0509_hsehld_type_relation,census,ACS: Household Type (Including Living Alone) By Relationship (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Children - Relationship subject area. Provides information about: Household Type (Including Living Alone) By Relationship for the universe of: Total population. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_hseing_value_low_quart,acs0509_hseing_value_low_quart,census,ACS: Lower Value Quartile (Dollars) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Lower Value Quartile (Dollars) for the universe of: Owner-occupied housing units. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_hseing_value_median,acs0509_hseing_value_median,census,ACS: Median Value (Dollars) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Median Value (Dollars) for the universe of: Owner-occupied housing units. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_hseing_value_up_quart,acs0509_hseing_value_up_quart,census,ACS: Upper Value Quartile (Dollars) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Upper Value Quartile (Dollars) for the universe of: Owner-occupied housing units. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_inc_fam_asian_alone,acs0509_inc_fam_asian_alone,census,ACS: Family Income In The Past 12 Months (In 2009 Inflation-Adjusted Dollars) (Asian Alone Householder) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Income subject area. Provides information about: Family Income In The Past 12 Months (In 2009 Inflation-Adjusted Dollars) (Asian Alone Householder) for the universe of: Families with a householder who is Asian alone. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_inc_fam_black_alone,acs0509_inc_fam_black_alone,census,ACS: Family Income In The Past 12 Months (In 2009 Inflation-Adjusted Dollars) (Black Or African American Alone Householder) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Income subject area. Provides information about: Family Income In The Past 12 Months (In 2009 Inflation-Adjusted Dollars) (Black Or African American Alone Householder) for the universe of: Families with a householder who is Black or African American alone. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_inc_fam_hawaii_alone,acs0509_inc_fam_hawaii_alone,census,ACS: Family Income In The Past 12 Months (In 2009 Inflation-Adjusted Dollars) (Native Hawaiian And Other Pacific Islander Alone Householder) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Income subject area. Provides information about: Family Income In The Past 12 Months (In 2009 Inflation-Adjusted Dollars) (Native Hawaiian And Other Pacific Islander Alone Householder) for the universe of: Families with a householder who is Native Hawaiian and Other Pacific Islander alone. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_inc_fam_hisp_lat,acs0509_inc_fam_hisp_lat,census,ACS: Family Income In The Past 12 Months (In 2009 Inflation-Adjusted Dollars) (Hispanic Or Latino Householder) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Income subject area. Provides information about: Family Income In The Past 12 Months (In 2009 Inflation-Adjusted Dollars) (Hispanic Or Latino Householder) for the universe of: Families with a householder who is Hispanic or Latino. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_inc_fam_native_alone,acs0509_inc_fam_native_alone,census,ACS: Family Income In The Past 12 Months (In 2009 Inflation-Adjusted Dollars) (American Indian And Alaska Native Alone Householder) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Income subject area. Provides information about: Family Income In The Past 12 Months (In 2009 Inflation-Adjusted Dollars) (American Indian And Alaska Native Alone Householder) for the universe of: Families with a householder who is American Indian and Alaska Native alone. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
